Curation,Variable ID,Variable name,Variable synonyms,Context of use,Growth stage,Variable status,Variable Xref,Institution,Scientist,Date,Language,Crop,Trait ID,Trait name,Trait class,Trait description,Trait synonyms,Main trait abbreviation,Alternative trait abbreviations,Entity,Attribute,Trait status,Trait Xref,Method ID,Method name,Method class,Method description,Formula,Method reference,Scale ID,Scale name,Scale class,Decimal places,Lower limit,Upper limit,Scale Xref,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Category 7,Category 8,Category 9,Category 10
,CO_347:0000021,AlTol_E_1to5,,Research-intensive characterization,,,,"NCRI, IBP","Salihu Bolaji Zuluqurineen, Julian Pietragalla",,EN,Castorbean,CO_347:0000019,Aluminium tolerance,Abiotic stress,The plants tolerance to Aluminium.,,AlTol,,Plant,Aluminium tolerance,,,CO_347:0000020,Aluminium tolerance - Estimation,Estimation,Observe the growth of plants per plot/entry in a high Aluminium soil and rate the tolerance.,,,CO_347:0000006,Seed yield FW basis - Measurement,Ordinal,,,,,1= highly susceptible,2= susceptible,3= intermediate,4= tolerant,5= highly tolerant,,,,,
,CO_347:0000024,DroTol_E_1to5,,Research-intensive characterization,,,,"NCRI, IBP","Salihu Bolaji Zuluqurineen, Julian Pietragalla",,EN,Castorbean,CO_347:0000022,Drought tolerance,Abiotic stress,The plants tolerance to drought stress.,,DroTol,,Plant,drought tolerance,,,CO_347:0000023,Drought tolerance - Estimation,Estimation,Observe the growth of plants per plot/entry under droughted condition and rate the tolerance.,,,CO_347:0000006,Seed yield FW basis - Measurement,Ordinal,,,,,1= highly susceptible,2= susceptible,3= intermediate,4= tolerant,5= highly tolerant,,,,,
,CO_347:0000027,FrostDmg_E_1to5,,Research-intensive characterization,,,,"NCRI, IBP","Salihu Bolaji Zuluqurineen, Julian Pietragalla",,EN,Castorbean,CO_347:0000025,Frost damage,Abiotic stress,The plant damage caused by a frost.,,FrostDmg,,Plant,frost damage,,,CO_347:0000026,Frost damage - Estimation,Estimation,Observe the growth of plants per plot/entry after a frost event and rate the damage.,,,CO_347:0000007,1-5 Damage/Incidence scale,Ordinal,,,,,1= none,2= low,3= medium,4= high,5= severe,,,,,
,CO_347:0000030,HTempTol_E_1to5,,Research-intensive characterization,,,,"NCRI, IBP","Salihu Bolaji Zuluqurineen, Julian Pietragalla",,EN,Castorbean,CO_347:0000028,High temperature tolerance,Abiotic stress,The plants tolerance to high temperature conditions.,,HTempTol,,Plant,high temperature tolerance,,,CO_347:0000029,High temperature tolerance - Estimation,Estimation,Observe the growth of plants per plot/entry under heat condition and rate the tolerance.,,,CO_347:0000006,Seed yield FW basis - Measurement,Ordinal,,,,,1= highly susceptible,2= susceptible,3= intermediate,4= tolerant,5= highly tolerant,,,,,
,CO_347:0000033,SaltTol_E_1to5,,Research-intensive characterization,,,,"NCRI, IBP","Salihu Bolaji Zuluqurineen, Julian Pietragalla",,EN,Castorbean,CO_347:0000031,Salinity tolerance,Abiotic stress,The plants tolerance to soil salinity.,,SaltTol,,Plant,salinity tolerance,,,CO_347:0000032,Salinity tolerance - Estimation,Estimation,Observe the growth of plants per plot/entry at the field presenting soil salinity and rate the tolerance.,,,CO_347:0000006,Seed yield FW basis - Measurement,Ordinal,,,,,1= highly susceptible,2= susceptible,3= intermediate,4= tolerant,5= highly tolerant,,,,,
,CO_347:0000036,CShattInc_E_1to5,,Trial evaluation,Maturity,,,"NCRI, IBP","Salihu Bolaji Zuluqurineen, Julian Pietragalla",,EN,Castorbean,CO_347:0000034,Capsule shattering incidence,Agronomic,The capsule shattering incidence.,,CShattInc,,Capsule,shattering incidence,,,CO_347:0000035,Capsule shattering incidence - Estimation,Estimation,Observe the capsule shattering incidence and rate it.,,,CO_347:0000007,1-5 Damage/Incidence scale,Ordinal,,,,,1= none,2= low,3= medium,4= high,5= severe,,,,,
,CO_347:0000039,CY_M_gplnt,,Trial evaluation,Harvest,,,"NCRI, IBP","Salihu Bolaji Zuluqurineen, Julian Pietragalla",,EN,Castorbean,CO_347:0000037,Capsule yield,Agronomic,The amount (weight) of capsules that was harvested per unit area or plant.,,CY,,Capsule,yield,,,CO_347:0000038,Capsule yield - Measurement,Measurement,"Record weight of harvested capsules per sampling unit (plot, plant, branch, raceme, etc).",,,CO_347:0000008,g/plant,Numerical,,,,,,,,,,,,,,
,CO_347:0000043,PRCN_Ct_capsule,,Trial evaluation,,,,"NCRI, IBP","Salihu Bolaji Zuluqurineen, Julian Pietragalla",,EN,Castorbean,CO_347:0000040,Primary raceme capsule number,Agronomic,The capsule number on primary raceme.,,PRCN,,Primary raceme,capsule number,,,CO_347:0000041,Capsule number - Counting,Counting,"Count capsules in a sampling unit (plot, plant, branch, raceme, etc).",,,CO_347:0000042,capsule,Numerical,,,,,,,,,,,,,,
,CO_347:0000046,PRCDW_M_g,,Trial evaluation,,,,"NCRI, IBP","Salihu Bolaji Zuluqurineen, Julian Pietragalla",,EN,Castorbean,CO_347:0000044,Primary raceme capsule dry weight,Agronomic,The capsules dry weight on primary raceme.,,PRCDW,,Primary raceme,capsule dry weight,,,CO_347:0000045,Primary raceme capsule DW - Measurement,Measurement,Measure capsules dry weight on primary raceme and record it.,,,CO_347:0000009,g,Numerical,,5,150,,,,,,,,,,,
,CO_347:0000049,PRH_M_cm,,Trial evaluation,,,,"NCRI, IBP","Salihu Bolaji Zuluqurineen, Julian Pietragalla",,EN,Castorbean,CO_347:0000047,Primary raceme height,Agronomic,The height from soil up to primary raceme.,,PRH,,Primary raceme,height,,,CO_347:0000048,Primary raceme height - Measurement,Measurement,Measure the height from soil up to primary raceme and record it.,,,CO_347:0000010,cm,Numerical,,0,110,,,,,,,,,,,
